id,type,floor,status,installed,desc,location/0,location/1,addedBy
A81758FFFE03104C,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,"Next to entrance J, above ""Yökköset""",65.05887,25.46357,jeremias
A81758FFFE030FBD,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,10m south from Campus shop,65.06087,25.46683,jeremias
A81758FFFE0464A9,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Opposite to elevator,65.05998,25.46868,jeremias
A81758FFFE031021,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Hallway Yellow cable channel in front of TM101,65.05965,25.46818,jeremias
A81758FFFE030FF5,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Hallway to ITEE building,65.05791,25.46820,jeremias
A81758FFFE0463C0,Elsys ERS Sound,4,installed,2020-06-06T00:00:00.000Z,TS455 under shelf,65.05790,25.46992,jeremias
A81758FFFE030FF3,Elsys ERS CO2,5,installed,2020-06-06T00:00:00.000Z,TS501 Attached to shelves,65.05808,25.46859,jeremias
A81758FFFE03107D,Elsys ERS CO2,3,installed,2020-06-06T00:00:00.000Z,Opposite to elevators,65.05797,25.46890,jeremias
A81758FFFE030FFB,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Next to fire extinguisher,65.05781,25.46880,jeremias
A81758FFFE031012,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,HR144 Above Pentti Kaiteras painting,65.05720,25.46815,jeremias
A81758FFFE030FE4,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,TM103 above whiteboard,65.05969,25.46836,jeremias
A81758FFFE030D52,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,TM113 above video projector,65.05984,25.46819,jeremias
A81758FFFE03101C,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,PK268 pillar next to window,65.06113,25.46637,jeremias
A81758FFFE03102F,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,PK263 Backwall,65.06113,25.46615,jeremias
A81758FFFE031019,Elsys ERS CO2,3,installed,2020-06-06T00:00:00.000Z,PK308 corner pillar,65.06146,25.46720,jeremias
A81758FFFE031073,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Against Napa wall row 19,65.05955,25.46604,jeremias
A81758FFFE030FA4,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Against Cafe hub wall row 6,65.05939,25.46672,jeremias
A81758FFFE031084,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Against L2 wall row 15,65.05902,25.46647,jeremias
A81758FFFE0464A8,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Backwall,65.05910,25.46576,jeremias
A81758FFFE0464F9,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Above Inva WC door,65.05773,25.46448,jeremias
